ref;value;footprint;Campo1;Campo2;Campo3;Campo4;Campo5;Campo6;Campo7;Campo8
C1;4.7p;~;;;;;;;;
C2;4.7p;~;;;;;;;;
C3;1u;~;;;;;;;;
C4;100n;~;;;;;;;;
C5;100n;~;;;;;;;;
C6;1u;~;;;;;;;;
C7;100n;~;;;;;;;;
C8;100n;~;;;;;;;;
C9;100n;~;;;;;;;;
C10;2u2;~;;;;;;;;
C11;100n;~;;;;;;;;
C12;2u2;~;;;;;;;;
C13;1u;~;;;;;;;;
C14;10u;~;;;;;;;;
C15;100n;~;;;;;;;;
C18;4u7;~;;;;;;;;
C19;100n;~;;;;;;;;
C20;100n;~;;;;;;;;
C21;4u7;~;;;;;;;;
C22;4u7;~;;;;;;;;
C23;100n;~;;;;;;;;
C26;100n;~;;;;;;;;
C27;100n;~;;;;;;;;
C29;100n;~;;;;;;;;
C32;4u7;~;;;;;;;;
C33;100n;~;;;;;;;;
CON1;SWD;;;;;;;;;
D1;DIODE;~;;;;;;;;
D6;LED;~;;;;;;;;
D10;LED;~;;;;;;;;
D11;LED;~;;;;;;;;
D12;LED;~;;;;;;;;
D13;LED;~;;;;;;;;
F1;FUSE;~;;;;;;;;
IC1;LD1117S33;~;;;;;;;;
IC3;USBLC6-4;;;;;;;;;
IC5;USB3300;~;;;;;;;;
JP1;JUMPER;~;;;;;;;;
L1;fcm1608;~;;;;;;;;
OSC1;OSCILLATOR;;;;;;;;;
P1;MICROUSBAB;;;;;;;;;
Q1;BC850;SOT-23;;;;;;;;
R1;0;~;;;;;;;;
R2;0;~;;;;;;;;
R3;47;~;;;;;;;;
R4;10k;~;;;;;;;;
R5;510;~;;;;;;;;
R11;330;~;;;;;;;;
R12;10k;~;;;;;;;;
R13;47k;~;;;;;;;;
R19;NP;~;;;;;;;;
R20;12k;~;1%;;;;;;;
R35;510;~;;;;;;;;
R36;510;~;;;;;;;;
R37;680;~;;;;;;;;
R38;680;~;;;;;;;;
SW2;SW_PUSH;~;;;;;;;;
U1;STM32F405RGT6;~;;;;;;;;
U2;ARDUINO_UNO_EX;~;;;;;;;;
X1;25 MHz;~;;;;;;;;
